keys,dotall,ignorecase,values
DISTRICT OF VERMONT,TRUE,TRUE,DISTRICT OF VERMONT
DISTRICT OF WYOMING,TRUE,TRUE,DISTRICT OF WYOMING
C.D. CAL.,TRUE,TRUE,CENTRAL DISTRICT OF CALIFORNIA
C.D. ILL.,TRUE,TRUE,CENTRAL DISTRICT OF ILLINOIS
E.D. ARK.,TRUE,TRUE,EASTERN DISTRICT OF ARKANSAS
E.D. CAL.,TRUE,TRUE,EASTERN DISTRICT OF CALIFORNIA
E.D. KY.,TRUE,TRUE,EASTERN DISTRICT OF KENTUCKY
E.D. LA.,TRUE,TRUE,EASTERN DISTRICT OF LOUISIANA
E.D. MICH.,TRUE,TRUE,EASTERN DISTRICT OF MICHIGAN
E.D. MO.,TRUE,TRUE,EASTERN DISTRICT OF MISSOURI
E.D.N.Y.,TRUE,TRUE,EASTERN DISTRICT OF NEW YORK
E.D.N.C.,TRUE,TRUE,EASTERN DISTRICT OF NORTH CAROLINA
E.D. OKLA.,TRUE,TRUE,EASTERN DISTRICT OF OKLAHOMA
E.D. PA.,TRUE,TRUE,EASTERN DISTRICT OF PENNSYLVANIA
E.D. TENN.,TRUE,TRUE,EASTERN DISTRICT OF TENNESSEE
E.D. TEX.,TRUE,TRUE,EASTERN DISTRICT OF TEXAS
E.D. VA.,TRUE,TRUE,EASTERN DISTRICT OF VIRGINIA
E.D. WASH.,TRUE,TRUE,EASTERN DISTRICT OF WASHINGTON
E.D. WIS.,TRUE,TRUE,EASTERN DISTRICT OF WISCONSIN
M.D. ALA.,TRUE,TRUE,MIDDLE DISTRICT OF ALABAMA
M.D. FLA.,TRUE,TRUE,MIDDLE DISTRICT OF FLORIDA
M.D. GA.,TRUE,TRUE,MIDDLE DISTRICT OF GEORGIA
M.D. LA.,TRUE,TRUE,MIDDLE DISTRICT OF LOUISIANA
M.D.N.C.,TRUE,TRUE,MIDDLE DISTRICT OF NORTH CAROLINA
M.D. PA.,TRUE,TRUE,MIDDLE DISTRICT OF PENNSYLVANIA
M.D. TENN.,TRUE,TRUE,MIDDLE DISTRICT OF TENNESSEE
N.D. ALA.,TRUE,TRUE,NORTHERN DISTRICT OF ALABAMA
N.D. CAL.,TRUE,TRUE,NORTHERN DISTRICT OF CALIFORNIA
N.D. FLA.,TRUE,TRUE,NORTHERN DISTRICT OF FLORIDA
N.D. GA.,TRUE,TRUE,NORTHERN DISTRICT OF GEORGIA
N.D. ILL.,TRUE,TRUE,NORTHERN DISTRICT OF ILLINOIS
N.D. IND.,TRUE,TRUE,NORTHERN DISTRICT OF INDIANA
N.D. IOWA,TRUE,TRUE,NORTHERN DISTRICT OF IOWA
N.D. MISS.,TRUE,TRUE,NORTHERN DISTRICT OF MISSISSIPPI
N.D.N.Y.,TRUE,TRUE,NORTHERN DISTRICT OF NEW YORK
N.D. OHIO,TRUE,TRUE,NORTHERN DISTRICT OF OHIO
N.D. OKLA.,TRUE,TRUE,NORTHERN DISTRICT OF OKLAHOMA
N.D. TEX.,TRUE,TRUE,NORTHERN DISTRICT OF TEXAS
N.D.W. VA.,TRUE,TRUE,NORTHERN DISTRICT OF WEST VIRGINIA
S.D. ALA.,TRUE,TRUE,SOUTHERN DISTRICT OF ALABAMA
S.D. CAL.,TRUE,TRUE,SOUTHERN DISTRICT OF CALIFORNIA
S.D. FLA.,TRUE,TRUE,SOUTHERN DISTRICT OF FLORIDA
S.D. GA.,TRUE,TRUE,SOUTHERN DISTRICT OF GEORGIA
S.D. IND.,TRUE,TRUE,SOUTHERN DISTRICT OF INDIANA
S.D. IOWA,TRUE,TRUE,SOUTHERN DISTRICT OF IOWA
S.D. MISS.,TRUE,TRUE,SOUTHERN DISTRICT OF MISSISSIPPI
S.D.N.Y.,TRUE,TRUE,SOUTHERN DISTRICT OF NEW YORK
S.D. OHIO,TRUE,TRUE,SOUTHERN DISTRICT OF OHIO
S.D. TEX.,TRUE,TRUE,SOUTHERN DISTRICT OF TEXAS
S.D.W. VA.,TRUE,TRUE,SOUTHERN DISTRICT OF WEST VIRGINIA
W.D. ARK.,TRUE,TRUE,WESTERN DISTRICT OF ARKANSAS
W.D. KY.,TRUE,TRUE,WESTERN DISTRICT OF KENTUCKY
W.D. LA.,TRUE,TRUE,WESTERN DISTRICT OF LOUISIANA
W.D. MICH.,TRUE,TRUE,WESTERN DISTRICT OF MICHIGAN
W.D. MO.,TRUE,TRUE,WESTERN DISTRICT OF MISSOURI
W.D.N.Y.,TRUE,TRUE,WESTERN DISTRICT OF NEW YORK
W.D.N.C.,TRUE,TRUE,WESTERN DISTRICT OF NORTH CAROLINA
W.D. OKLA.,TRUE,TRUE,WESTERN DISTRICT OF OKLAHOMA
W.D. PA.,TRUE,TRUE,WESTERN DISTRICT OF PENNSYLVANIA
W.D. TENN.,TRUE,TRUE,WESTERN DISTRICT OF TENNESSEE
W.D. TEX.,TRUE,TRUE,WESTERN DISTRICT OF TEXAS
W.D. VA.,TRUE,TRUE,WESTERN DISTRICT OF VIRGINIA
W.D. WASH.,TRUE,TRUE,WESTERN DISTRICT OF WASHINGTON
W.D. WIS.,TRUE,TRUE,WESTERN DISTRICT OF WISCONSIN
D. ALASKA,TRUE,TRUE,DISTRICT OF ALASKA
