"term","med","med_sd","min","max","justice","just_pr","CEHughes2","JCMcReynolds","LDBrandeis","GSutherland","PButler","HFStone","OJRoberts","BNCardozo","HLBlack","SFReed","FFrankfurter","WODouglas","FMurphy","JFByrnes","RHJackson","WBRutledge","HHBurton","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"1999",0.828,0.432,-3.288,3.859,"SDOConnor",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011,0,0.7603,0,0.2386,0,0,0,0,,,,,
"2000",0.575,0.446,-3.119,3.88,"SDOConnor",0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.9173,0,0.0826,0,0,0,0,,,,,
"2001",0.359,0.453,-3.011,3.81,"SDOConnor",0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.9943,0,0.0056,0,0,0,0,,,,,
"2002",0.246,0.454,-2.901,3.881,"SDOConnor",0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0,0.9863,0,0.0135,0,0,0,0,,,,,
"2003",0.194,0.446,-2.881,3.891,"SDOConnor",0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9809,0,0.0191,0,0,0,0,,,,,
"2004",0.113,0.438,-2.87,3.925,"SDOConnor",0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9269,0,0.073,0,0,0,0.0001,,,,,
"2005a",0.048,0.435,-2.811,3.958,"SDOConnor",0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8552,0,0.1441,0,0,0,0.0006,0.0001,,,,
"2005b",0.492,0.435,-2.811,3.958,"AMKennedy",0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9857,0,0,0,0,0.0063,0.008,,,
"2006",0.446,0.438,-2.784,3.915,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9987,0,0,0,0,0.0007,0.0006,,,
"2007",0.402,0.457,-2.672,3.779,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9993,0,0,0,0,0.0006,0.0001,,,
"2008",0.554,0.469,-2.837,3.536,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9994,0,0,0,0,0.0005,0.0001,,,
"2009",0.52,0.523,-2.847,3.399,"AMKennedy",0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9976,,0,0,0,0.0023,0.0001,0,,
"2010",0.581,0.305,-2.129,3.228,"AMKennedy",0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.994,,0,0,0,0.006,0,0,0,
"2011",0.3,0.329,-2.385,3.191,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9993,,0,0,0,0.0007,0,0,0,
"2012",0.25,0.337,-2.57,3.147,"AMKennedy",0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9983,,0,0,0,0.0017,0,0,0,
"2013",0.077,0.368,-2.707,3.171,"AMKennedy",0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9893,,0,0,0,0.0107,0,0,0,
"2014",-0.215,0.393,-2.897,3.172,"AMKennedy",0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9984,,0,0,0,0.0016,0,0,0,
"2015",-0.261,0.427,-3.057,3.193,"AMKennedy",0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9777,,0,0,0.0003,0.0217,0,0,0.0003,
"2016",-0.039,0.462,-3.19,3.203,"AMKennedy",0.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9142,,0,0,0,0.0849,0,0,0,0.0009
"2017",0.31,0.506,-3.32,3.137,"AMKennedy",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5001,,0,0,0,0.4958,0,0,0,0.0041
